postal_code,walk_score,bike_score,transit_score
T1Y 3H7,46,68,58
T2J 2C4,41,73,48
T3H 0J4,28,70,32
T2V 3Z7,50,78,33
T3K 5A2,30,71,45
T2G 1K6,69,93,75
T3C 1T1,56,91,44
T3C 0Z8,87,89,60
T2S 1B1,58,86,54
T3J 3B4,47,71,51
T2S 2E9,95,97,69
T2E 0L2,76,87,59
T2S 0W5,17,78,52
T2V 4Y8,27,82,47
T2R 1S2,93,96,73
T3A 2C9,61,91,44
T2B 3R6,18,76,39
T3E 1X5,53,84,55
T3K 4G4,45,63,40
T2Z 0Z5,37,66,38
T3B 4X7,9,56,37
T2H 1E7,48,79,57
T3C 3X5,18,51,51
T2Z 1K1,48,79,45
T2G 0S7,68,97,58
T2M 2W4,76,97,56
T2X 4E1,9,37,25
T2T 1H7,55,77,49
T2W 0J7,46,70,58
T3K 5W6,35,68,50
T2X 3G4,10,38,35
T1Y 7J3,17,60,37
T3C 1R8,63,92,44
T3N 0R8,3,33,34
T3H 1T7,28,69,48
T2A 1G5,58,67,55
T2G 1E1,90,93,76
T3M 1Z2,8,55,34
T2M 3B4,30,84,50
T3M 1A8,18,65,36
T2K 2G3,37,72,46
T3A 4G4,24,52,36
T2Z 0Y7,22,68,38
T3H 5J7,28,68,49
T2S 2G1,92,98,53
T3H 1R7,35,71,33
T2M 4E4,62,92,60
T3B 6B6,9,41,36
T1Y 3W3,58,71,47
T2M 1M2,79,99,58
T2T 2B7,63,81,44
T2T 2N8,52,79,42
T2G 4Z9,88,88,79
T2Z 1B7,42,76,42
T3B 0P4,64,91,44
T3J 0M1,11,62,41
T3H 0N1,38,71,33
T2A 5E4,54,61,54
T2T 4M8,53,78,50
T2J 6V9,10,57,33
T2E 0M9,80,96,61
T2N 1C9,28,76,56
T3M 2T2,8,55,34
T2B 1T3,63,82,48
T3H 6A7,25,50,44
T2Z 2Z4,41,62,45
T2Z 1J7,48,76,45
T2Y 2Y6,19,66,43
T3M 3C8,8,55,34
T3B 5L5,14,60,23
T2E 0Y6,84,98,56
T3R 0C1,39,61,40
T2X 3S7,38,67,32
T2M 2T6,79,85,54
T2Z 1A2,16,67,41
T2Z 4M7,32,69,43
T3H 2E9,58,83,49
T2V 3W5,46,78,33
T2R 1S6,89,96,72
T3H 5T4,39,54,52
T2J 2M3,52,71,39
T3M 2H6,32,73,40
T2E 0P9,81,96,52
T3L 2X7,10,52,52
T3G 4W3,16,62,35
T3H 4G2,2,12,24
T3K 2E8,18,58,43
T3E 1W3,51,79,52
T3B 1W7,32,73,39
T2X 3L9,16,51,29
T2W 5R4,15,54,25
T3H 2Y7,24,62,55
T3C 1N2,66,92,58
T3R 0V1,0,38,0
T2X 0H6,46,67,23
T2X 4G1,12,45,38
T2T 2N2,52,79,42
T3R 1K8,55,64,35
T2Y 0L6,9,63,31
T3G 3K8,22,49,34
T2M 1H7,71,95,58
T3H 0T7,25,50,46
T3E 5N6,43,88,45
T3B 5B6,52,90,51
T2T 1S2,47,85,45
T2K 5W9,58,79,51
T2N 0R5,84,99,64
T3K 0V9,53,60,38
T3G 4K3,71,72,58
T3E 3G4,58,63,47
T2N 4G5,41,87,56
T3E 5W8,26,72,50
T2T 5S3,67,83,49
T3J 4K9,10,60,43
T3E 1K8,26,75,46
T3K 4V6,8,44,29
T3A 2C5,22,51,26
T2X 1K4,12,45,38
T3M 2C4,8,55,34
T2Y 0C6,33,69,34
T3B 2E5,50,83,46
T3P 1K6,0,30,0
T2E 1T3,79,85,54
T3B 1M2,15,38,39
T2K 2X4,58,73,52
T3K 4W8,59,73,42
T3K 4V3,13,61,41
T2A 3B4,56,68,54
T3H 3A7,40,62,43
T2N 2K7,74,95,61
T3H 0N3,15,34,37
